| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
| iLQR(엄격18) | 성형 | 90_1.5_90_2.5 | 1.379 | 1.387 | 43.2% | 32.0% | 68.6% |
| PPO(엄격18) | FF+PD | 120_2.2_150_2.5 | 1.069 | 1.040 | 11.5% | 9.1% | 13.3% |
| PPO(엄격18) | FF+PD | 120_2.2_200_2.8 | 1.069 | 1.046 | 12.3% | 8.9% | 14.8% |
| PPO(엄격18) | FF+PD | 120_2_120_2 | 1.069 | 1.034 | 11.1% | 9.3% | 12.5% |
| PPO(엄격18) | FF+PD | 150_2.2_250_3 | 1.069 | 1.050 | 13.5% | 9.2% | 16.5% |
| PPO(엄격18) | FF+PD | 150_2.2_350_3.5 | 1.069 | 1.059 | 14.4% | 8.8% | 18.1% |
| PPO(엄격18) | FF+PD | 150_2.2_500_4 | 1.069 | 1.068 | 15.4% | 8.2% | 19.7% |
| PPO(엄격18) | FF+PD | 60_1.5_60_1.5 | 1.069 | 1.022 | 8.8% | 8.1% | 9.4% |
| PPO(엄격18) | FF+PD | 90_1.5_90_2.5 | 1.069 | 1.029 | 10.0% | 8.5% | 11.2% |
| PPO(엄격18) | PD그대로 | 120_2.2_150_2.5 | 1.069 | 0.947 | 76.7% | 75.9% | 77.5% |
| PPO(엄격18) | PD그대로 | 120_2.2_200_2.8 | 1.069 | 1.025 | 73.0% | 71.7% | 74.2% |
| PPO(엄격18) | PD그대로 | 120_2_120_2 | 1.069 | 0.858 | 81.8% | 80.7% | 82.8% |
| PPO(엄격18) | PD그대로 | 150_2.2_250_3 | 1.069 | 1.049 | 72.2% | 71.4% | 73.0% |
| PPO(엄격18) | PD그대로 | 150_2.2_350_3.5 | 1.069 | 1.120 | 67.2% | 66.4% | 67.8% |
| PPO(엄격18) | PD그대로 | 150_2.2_500_4 | 1.069 | 1.179 | 63.0% | 63.1% | 62.8% |
| PPO(엄격18) | PD그대로 | 60_1.5_60_1.5 | 1.069 | 0.720 | 85.0% | 84.1% | 85.7% |
| PPO(엄격18) | PD그대로 | 90_1.5_90_2.5 | 1.069 | 0.881 | 77.2% | 79.7% | 74.9% |
| PPO(엄격18) | 성형 | 120_2.2_150_2.5 | 1.069 | 1.085 | 11.1% | 11.4% | 10.8% |
| PPO(엄격18) | 성형 | 120_2.2_200_2.8 | 1.069 | 1.045 | 14.4% | 10.4% | 17.2% |
| PPO(엄격18) | 성형 | 120_2_120_2 | 1.069 | 1.109 | 10.5% | 11.0% | 10.0% |
| PPO(엄격18) | 성형 | 150_2.2_250_3 | 1.069 | 1.052 | 14.7% | 10.3% | 17.7% |
| PPO(엄격18) | 성형 | 150_2.2_350_3.5 | 1.069 | 1.044 | 19.6% | 11.1% | 25.0% |
| PPO(엄격18) | 성형 | 150_2.2_500_4 | 1.069 | 1.046 | 24.7% | 12.0% | 32.1% |
| PPO(엄격18) | 성형 | 60_1.5_60_1.5 | 1.069 | 1.073 | 12.8% | 8.0% | 15.9% |
| PPO(엄격18) | 성형 | 90_1.5_90_2.5 | 1.069 | 1.089 | 12.0% | 10.0% | 13.6% |
| PPO(best,엄격18) | FF+PD | 120_2.2_150_2.5 | 1.202 | 1.194 | 11.1% | 9.1% | 12.6% |
| PPO(best,엄격18) | FF+PD | 120_2.2_200_2.8 | 1.202 | 1.199 | 11.8% | 8.8% | 13.8% |
| PPO(best,엄격18) | FF+PD | 120_2_120_2 | 1.202 | 1.189 | 10.9% | 9.4% | 12.0% |
| PPO(best,엄격18) | FF+PD | 150_2.2_250_3 | 1.202 | 1.202 | 12.9% | 9.5% | 15.3% |
| PPO(best,엄격18) | FF+PD | 150_2.2_350_3.5 | 1.202 | 1.206 | 13.4% | 9.0% | 16.3% |
| PPO(best,엄격18) | FF+PD | 150_2.2_500_4 | 1.202 | 1.212 | 14.2% | 8.5% | 17.7% |
| PPO(best,엄격18) | FF+PD | 60_1.5_60_1.5 | 1.202 | 1.181 | 8.6% | 7.7% | 9.3% |
| PPO(best,엄격18) | FF+PD | 90_1.5_90_2.5 | 1.202 | 1.185 | 9.7% | 8.4% | 10.8% |
| PPO(best,엄격18) | PD그대로 | 120_2.2_150_2.5 | 1.202 | 1.120 | 79.2% | 79.8% | 78.6% |
| PPO(best,엄격18) | PD그대로 | 120_2.2_200_2.8 | 1.202 | 1.162 | 76.7% | 76.7% | 76.7% |
| PPO(best,엄격18) | PD그대로 | 120_2_120_2 | 1.202 | 1.073 | 84.2% | 85.4% | 83.1% |
| PPO(best,엄격18) | PD그대로 | 150_2.2_250_3 | 1.202 | 1.206 | 75.0% | 75.7% | 74.4% |
| PPO(best,엄격18) | PD그대로 | 150_2.2_350_3.5 | 1.202 | 1.225 | 73.0% | 73.4% | 72.7% |
| PPO(best,엄격18) | PD그대로 | 150_2.2_500_4 | 1.202 | 1.224 | 70.7% | 71.6% | 70.0% |
| PPO(best,엄격18) | PD그대로 | 60_1.5_60_1.5 | 1.202 | 0.889 | 88.1% | 88.7% | 87.4% |
| PPO(best,엄격18) | PD그대로 | 90_1.5_90_2.5 | 1.202 | 1.017 | 81.7% | 85.7% | 77.9% |
