t,q1_des,q2_des,dq1_des,dq2_des
2.730000,-1.204343,-0.892323,-0.458700,2.350659
2.740000,-1.208868,-0.869146,-0.446386,2.284406
2.750000,-1.213270,-0.846643,-0.434006,2.215899
2.760000,-1.217548,-0.824835,-0.421564,2.145205
2.770000,-1.221701,-0.803746,-0.409063,2.072394
2.780000,-1.225729,-0.783394,-0.396507,1.997537
2.790000,-1.229631,-0.763802,-0.383902,1.920710
2.800000,-1.233407,-0.744987,-0.371250,1.841987
2.810000,-1.237056,-0.726968,-0.358555,1.761446
2.820000,-1.240578,-0.709763,-0.345821,1.679167
2.830000,-1.243973,-0.693390,-0.333052,1.595230
2.840000,-1.247239,-0.677864,-0.320251,1.509719
2.850000,-1.250378,-0.663201,-0.307421,1.422719
2.860000,-1.253387,-0.649414,-0.294566,1.334314
2.870000,-1.256269,-0.636519,-0.281689,1.244593
2.880000,-1.259021,-0.624527,-0.268792,1.153643
2.890000,-1.261645,-0.613450,-0.255880,1.061555
2.900000,-1.264139,-0.603299,-0.242954,0.968419
2.910000,-1.266504,-0.594085,-0.230018,0.874328
2.920000,-1.268739,-0.585815,-0.217074,0.779373
2.930000,-1.270845,-0.578500,-0.204125,0.683650
2.940000,-1.272822,-0.572145,-0.191173,0.587251
2.950000,-1.274669,-0.566757,-0.178221,0.490274
2.960000,-1.276386,-0.562341,-0.165270,0.392812
2.970000,-1.277974,-0.558902,-0.152324,0.294963
2.980000,-1.279433,-0.556442,-0.139384,0.196823
2.990000,-1.280762,-0.554966,-0.126452,0.098488
3.000000,-1.281962,-0.554473,-0.113530,0.000057
3.010000,-1.283032,-0.554965,-0.100620,-0.098375
3.020000,-1.283974,-0.556440,-0.087723,-0.196710
3.030000,-1.284787,-0.558898,-0.074842,-0.294850
3.040000,-1.285471,-0.562336,-0.061977,-0.392700
3.050000,-1.286026,-0.566751,-0.049131,-0.490162
3.060000,-1.286454,-0.572138,-0.036304,-0.587140
3.070000,-1.286753,-0.578492,-0.023498,-0.683539
3.080000,-1.286924,-0.585806,-0.010714,-0.779263
3.090000,-1.286967,-0.594074,0.002046,-0.874218
3.100000,-1.286883,-0.603288,0.014782,-0.968311
3.110000,-1.286671,-0.613437,0.027493,-1.061447
3.120000,-1.286333,-0.624513,0.040177,-1.153537
3.130000,-1.285868,-0.636504,0.052834,-1.244487
3.140000,-1.285276,-0.649399,0.065462,-1.334210
3.150000,-1.284559,-0.663184,0.078062,-1.422616
3.160000,-1.283715,-0.677847,0.090632,-1.509618
3.170000,-1.282746,-0.693372,0.103171,-1.595130
3.180000,-1.281652,-0.709744,0.115679,-1.679068
3.190000,-1.280433,-0.726947,0.128155,-1.761349
3.200000,-1.279089,-0.744965,0.140599,-1.841892
3.210000,-1.277621,-0.763779,0.153010,-1.920617
3.220000,-1.276029,-0.783371,0.165387,-1.997446
3.230000,-1.274313,-0.803722,0.177729,-2.072304
3.240000,-1.272474,-0.824810,0.190037,-2.145117
3.250000,-1.270513,-0.846617,0.202310,-2.215814
3.260000,-1.268428,-0.869119,0.214547,-2.284323
3.270000,-1.266222,-0.892296,0.226747,-2.350578
3.280000,-1.263894,-0.916123,0.238910,-2.414513
3.290000,-1.261444,-0.940578,0.251036,-2.476066
3.300000,-1.258873,-0.965636,0.263124,-2.535175
3.310000,-1.256181,-0.991273,0.275173,-2.591781
3.320000,-1.253370,-1.017464,0.287183,-2.645831
3.330000,-1.250438,-1.044181,0.299154,-2.697269
3.340000,-1.247387,-1.071400,0.311083,-2.746045
3.350000,-1.244216,-1.099093,0.322972,-2.792111
3.360000,-1.240927,-1.127233,0.334819,-2.835421
3.370000,-1.237520,-1.155792,0.346623,-2.875934
3.380000,-1.233995,-1.184742,0.358384,-2.913608
3.390000,-1.230353,-1.214055,0.370100,-2.948407
3.400000,-1.226593,-1.243701,0.381771,-2.980296
3.410000,-1.222717,-1.273651,0.393396,-3.009243
3.420000,-1.218725,-1.303876,0.404973,-3.035221
3.430000,-1.214618,-1.334345,0.416503,-3.058204
3.440000,-1.210396,-1.365030,0.427982,-3.078169
3.450000,-1.206059,-1.395899,0.439411,-3.095095
3.460000,-1.201608,-1.426921,0.450788,-3.108968
3.470000,-1.197043,-1.458068,0.462111,-3.119772
3.480000,-1.192365,-1.489307,0.473380,-3.127497
3.490000,-1.187576,-1.520607,0.484591,-3.132136
3.500000,-1.182674,-1.551939,0.495745,-3.133683
3.510000,-1.177661,-1.583271,0.506838,-3.132138
3.520000,-1.172537,-1.614571,0.517870,-3.127502
3.530000,-1.167304,-1.645810,0.528838,-3.119780
3.540000,-1.161961,-1.676957,0.539740,-3.108979
3.550000,-1.156509,-1.707980,0.550574,-3.095109
3.560000,-1.150949,-1.738849,0.561338,-3.078185
3.570000,-1.145283,-1.769533,0.572029,-3.058223
3.580000,-1.139509,-1.800003,0.582646,-3.035244
3.590000,-1.133630,-1.830228,0.593185,-3.009268
3.600000,-1.127646,-1.860179,0.603643,-2.980323
3.610000,-1.121557,-1.889825,0.614018,-2.948437
3.620000,-1.115366,-1.919138,0.624308,-2.913640
3.630000,-1.109071,-1.948088,0.634508,-2.875969
3.640000,-1.102676,-1.976648,0.644616,-2.835459
3.650000,-1.096179,-2.004788,0.654629,-2.792151
3.660000,-1.089584,-2.032481,0.664543,-2.746087
3.670000,-1.082889,-2.059701,0.674355,-2.697314
3.680000,-1.076097,-2.086419,0.684062,-2.645878
3.690000,-1.069208,-2.112610,0.693658,-2.591831
3.700000,-1.062224,-2.138247,0.703142,-2.535227
3.710000,-1.055146,-2.163306,0.712508,-2.476120
3.720000,-1.047974,-2.187761,0.721753,-2.414570
3.730000,-1.040711,-2.211589,0.730873,-2.350637
3.740000,-1.033357,-2.234766,0.739863,-2.284384
3.750000,-1.025914,-2.257269,0.748719,-2.215876
3.760000,-1.018383,-2.279076,0.757436,-2.145182
3.770000,-1.010766,-2.300166,0.766011,-2.072371
3.780000,-1.003064,-2.320517,0.774437,-1.997514
3.790000,-0.995278,-2.340110,0.782712,-1.920687
3.800000,-0.987410,-2.358924,0.790829,-1.841963
3.810000,-0.979462,-2.376943,0.798783,-1.761422
3.820000,-0.971435,-2.394147,0.806571,-1.679143
3.830000,-0.963331,-2.410520,0.814186,-1.595206
3.840000,-0.955152,-2.426046,0.821623,-1.509696
3.850000,-0.946899,-2.440709,0.828877,-1.422695
3.860000,-0.938575,-2.454495,0.835943,-1.334290
3.870000,-0.930181,-2.467391,0.842815,-1.244569
3.880000,-0.921719,-2.479382,0.849488,-1.153619
3.890000,-0.913192,-2.490459,0.855956,-1.061531
3.900000,-0.904601,-2.500610,0.862214,-0.968395
3.910000,-0.895948,-2.509824,0.868256,-0.874303
3.920000,-0.887236,-2.518093,0.874075,-0.779349
3.930000,-0.878467,-2.525408,0.879668,-0.683625
3.940000,-0.869644,-2.531763,0.885026,-0.587227
3.950000,-0.860768,-2.537151,0.890146,-0.490249
3.960000,-0.851842,-2.541566,0.895020,-0.392788
3.970000,-0.842868,-2.545005,0.899644,-0.294938
3.980000,-0.833850,-2.547464,0.904010,-0.196798
3.990000,-0.824789,-2.548941,0.908114,-0.098464
4.000000,-0.815688,-2.549433,0.911949,-0.000032
4.010000,-0.806551,-2.548941,0.915510,0.098400
4.020000,-0.797379,-2.547466,0.918790,0.196735
4.030000,-0.788176,-2.545007,0.921784,0.294875
4.040000,-0.778944,-2.541569,0.924486,0.392725
4.050000,-0.769687,-2.537154,0.926889,0.490187
4.060000,-0.760407,-2.531767,0.928989,0.587165
4.070000,-0.751108,-2.525413,0.930780,0.683564
4.080000,-0.741793,-2.518098,0.932255,0.779288
4.090000,-0.732464,-2.509829,0.933410,0.874243
